EmployeeNumber,Age,Tenure,Turnover,HourlyRate ,HoursWeekly,CompensationType,AnnualSalary,DrivingCommuterDistance,JobRoleArea,Gender,MaritalStatus,NumCompaniesPreviouslyWorked,AnnualProfessionalDevHrs,PaycheckMethod,TextMessageOptIn
38,57,6,No,$49.80 ,30,Salary,79614.59,30.0,Human_Resources,Male,Divorced,0.0,26.0,Mail Check,No
171,23,15,No,$24.81 ,40,Salary,50602.64,26.0,Information_Technology,Female,Single,6.0,7.0,Direct_Deposit,No
257,50,15,Yes,$50.88 ,20,Salary,51015.69,22.0,Laboratory,Female,Married,7.0,27.0,Direct_Deposit,Yes
61,62,17,No,$26.57 ,40,Salary,58022.41,33.0,Marketing,Male,Married,0.0,15.0,DirectDeposit,Yes
154,32,0,Yes,$37.43 ,30,Salary,56259.76,16.0,Manufacturing,Male,Single,1.0,22.0,Direct Deposit,No
182,25,17,Yes,$60.70 ,40,Salary,130302.58,14.0,Information Technology,Male,Single,7.0,28.0,Direct_Deposit,No
31,39,11,No,$61.01 ,30,Salary,93351.4,28.0,Laboratory,Male,Single,2.0,12.0,DirectDeposit,No
100,24,6,No,$27.87 ,30,Salary,42454.23,45.0,HumanResources,Male,Divorced,4.0,38.0,Mail Check,Yes
142,28,6,Yes,$17.94 ,40,Hourly,35814.34,18.0,Human Resources,Male,Single,3.0,35.0,Mail_Check,No
127,21,18,Yes,$25.04 ,40,Salary,51414.16,7.0,InformationTechnology,Female,Single,3.0,12.0,Direct Deposit,Yes
71,56,7,No,$19.25 ,30,Hourly,29751.81,9.0,Human_Resources,Female,Divorced,1.0,24.0,Direct Deposit,Yes
128,54,16,No,$15.47 ,40,Salary,31176.35,32.0,Human_Resources,Male,Single,4.0,30.0,MailedCheck,No
214,39,17,Yes,$42.99 ,40,Hourly,92848.69,27.0,Marketing,Female,Married,7.0,15.0,MailedCheck,Yes
263,32,10,No,$53.50 ,40,Salary,108072.6,15.0,HumanResources,Female,Single,4.0,23.0,DirectDeposit,No
75,50,18,Yes,$43.55 ,40,Salary,87039.06,39.0,Information_Technology,Male,Divorced,1.0,8.0,Mail Check,Yes
89,54,18,Yes,$51.85 ,40,Salary,105651.13,58.0,Sales,Female,Married,2.0,32.0,DirectDeposit,No
162,49,2,Yes,$19.97 ,40,Salary,42116.01,30.0,Research,Female,Married,4.0,3.0,Mail Check,No
160,55,2,No,$36.42 ,40,Salary,72231.94,34.0,Human Resources,Female,Married,7.0,9.0,Mail Check,No
116,45,14,Yes,$21.81 ,30,Hourly,33047.38,17.0,Information_Technology,Male,Married,0.0,9.0,Direct Deposit,Yes
149,57,10,Yes,$53.37 ,40,Salary,115534.41,55.0,Sales,Female,Single,2.0,36.0,Mail_Check,No
4,39,18,No,$50.20 ,40,Hourly,103633.73,37.0,Research,Male,Divorced,6.0,19.0,Mailed Check,Yes
250,19,14,No,$62.96 ,40,Salary,130295.89,14.0,Sales,Female,Married,7.0,23.0,DirectDeposit,No
95,61,15,Yes,$60.18 ,40,Salary,129356.74,24.0,HumanResources,Female,Married,,14.0,Direct_Deposit,Yes
284,41,1,No,$36.78 ,30,Salary,55388.87,27.0,Healthcare,Male,Divorced,3.0,15.0,Mailed Check,No
66,33,10,No,$50.03 ,40,Hourly,103655.84,27.0,Healthcare,Female,Married,4.0,3.0,Mailed Check,No
291,56,16,No,$29.99 ,40,Salary,64032.4,34.0,Human_Resources,Male,Single,7.0,7.0,MailedCheck,Yes
297,58,12,No,$26.74 ,30,Hourly,42001.54,32.0,HumanResources,Male,Married,4.0,37.0,Mail Check,No
85,48,0,No,$45.63 ,30,Hourly,71939.47,58.0,Healthcare,Male,Married,0.0,31.0,Mailed Check,No
15,52,5,No,$27.28 ,40,Salary,58981.95,45.0,Manufacturing,Female,Divorced,5.0,9.0,MailedCheck,No
242,46,1,No,$54.19 ,40,Salary,109680.3,30.0,Healthcare,Male,Married,1.0,24.0,MailedCheck,Yes
190,32,12,No,$43.84 ,40,Salary,90230.66,19.0,Marketing,Female,Divorced,7.0,11.0,Direct_Deposit,Yes
279,21,18,No,$44.26 ,30,Salary,67982.74,11.0,Human_Resources,Female,Single,6.0,19.0,Direct Deposit,Yes
214,39,17,Yes,$42.99 ,40,Hourly,92848.69,27.0,Marketing,Female,Married,7.0,15.0,MailedCheck,Yes
254,33,6,No,$60.37 ,30,Hourly,97113.2,21.0,Marketing,Female,Divorced,7.0,18.0,Mailed Check,No
87,22,1,No,$34.28 ,40,Salary,70194.65,7.0,Information Technology,Female,Single,5.0,,Mail_Check,No
74,24,7,No,$49.15 ,40,Salary,-5000.0,1.0,Information Technology,Male,Divorced,4.0,13.0,Mail_Check,Yes
130,48,15,No,$39.35 ,40,Salary,81111.77,38.0,Sales,Female,Married,1.0,10.0,Mail Check,Yes
81,63,0,No,$15.56 ,40,Salary,33626.7,42.0,Human_Resources,Male,Single,3.0,34.0,DirectDeposit,Yes
227,56,19,No,$43.57 ,40,Salary,89250.59,20.0,Research,Male,Single,2.0,22.0,MailedCheck,No
3,49,0,No,$59.88 ,20,Hourly,61471.3,10.0,HumanResources,Male,Divorced,1.0,9.0,Direct Deposit,Yes
139,34,1,No,$32.89 ,40,Hourly,66672.7,40.0,Information Technology,Female,Married,2.0,36.0,Direct_Deposit,Yes
